CompanyName,GrossIncome,Deductions,EntityType,StateCode,TaxYear,NOLCarryforward,EstimatedPayments,Credits
Company 001,586956,43112,LLC,FL,2024,117026,36579,48265
Company 002,549895,207392,C-Corp,NJ,2024,221208,8331,1952
Company 003,512986,87314,S-Corp,MA,2024,13912,147127,13031
Company 004,2405650,909796,S-Corp,OH,2024,145852,1703,49729
Company 005,789659,251571,LLC,IL,2024,81516,56443,22059
Company 006,548700,54312,Partnership,NY,2024,188208,90165,39565
Company 007,1229480,75561,Partnership,MA,2024,65444,99230,5164
Company 008,2435426,644839,LLC,NJ,2024,100814,184699,4558
Company 009,312201,116673,S-Corp,IL,2024,41833,61024,6619
Company 010,1714364,321476,Partnership,WA,2024,85277,97040,23283
Company 011,998736,381364,LLC,NY,2024,89725,140021,47784
Company 012,1146811,201339,Partnership,PA,2024,141530,167772,45099
Company 013,2456016,490566,LLC,CA,2024,120087,8414,20673
Company 014,1802607,310746,C-Corp,FL,2024,297365,188196,20622
Company 015,1011820,373638,Partnership,PA,2024,240570,37452,17359
Company 016,705652,159303,LLC,NJ,2024,224622,152969,26175
Company 017,1638323,259974,S-Corp,MA,2024,258744,23831,49530
Company 018,317620,142866,C-Corp,TX,2024,83876,178384,27666
Company 019,386454,130864,Partnership,NJ,2024,245392,138704,16476
Company 020,2440397,54077,C-Corp,MA,2024,139893,168024,22293
Company 021,587883,183878,Partnership,TX,2024,237881,850,47323
Company 022,1224733,554902,S-Corp,MA,2024,55789,163918,19558
Company 023,2249292,447146,S-Corp,WA,2024,84698,141394,34757
Company 024,122398,49626,LLC,OH,2024,10211,29325,23788
Company 025,1409807,281083,C-Corp,FL,2024,297458,20645,5613
Company 026,2158391,175149,S-Corp,TX,2024,249184,144127,10821
Company 027,1231728,583306,Partnership,FL,2024,282746,197988,47836
Company 028,963688,403790,LLC,PA,2024,195779,114845,33919
Company 029,2013670,156882,S-Corp,FL,2024,33568,88627,1378
Company 030,2443315,512585,S-Corp,CA,2024,37220,185556,41359
Company 031,366934,90015,C-Corp,CA,2024,173239,18574,33695
Company 032,1118263,322004,Partnership,FL,2024,282713,34684,47405
Company 033,2102525,284801,Partnership,PA,2024,99829,24726,6352
Company 034,1927959,401507,Partnership,PA,2024,244855,191122,3550
Company 035,532794,45889,Partnership,WA,2024,57288,65183,12556
Company 036,917793,311168,Partnership,TX,2024,221187,48100,18254
Company 037,2060402,291941,C-Corp,OH,2024,288528,25666,3315
Company 038,2387390,60949,C-Corp,FL,2024,87194,106539,31826
Company 039,2138963,254130,Partnership,CA,2024,86317,99345,141
Company 040,1757547,308085,Partnership,IL,2024,221777,182607,47874
Company 041,2451061,1050623,S-Corp,FL,2024,155560,57068,3832
Company 042,2394131,157837,LLC,CA,2024,26289,153138,31246
Company 043,2229107,360160,C-Corp,MA,2024,42001,48712,4490
Company 044,405048,91657,Partnership,NY,2024,298673,64543,37940
Company 045,286688,111183,C-Corp,PA,2024,296341,137044,20733
Company 046,1213730,244181,LLC,FL,2024,139258,103752,8577
Company 047,1378278,509434,LLC,NY,2024,4883,120136,40708
Company 048,2481366,239675,C-Corp,MA,2024,111754,132614,17380
Company 049,675563,212981,C-Corp,FL,2024,193738,74707,10338
Company 050,1957879,904244,LLC,NJ,2024,277317,2050,43769
Company 051,2446170,657842,C-Corp,TX,2024,138656,30258,7014
Company 052,2440388,355997,LLC,IL,2024,110430,188117,22471
Company 053,973949,390446,LLC,MA,2024,256131,65829,3329
Company 054,507127,196273,Partnership,IL,2024,23114,929,21859
Company 055,668697,167340,S-Corp,OH,2024,289239,184986,28028
Company 056,2472613,50278,C-Corp,NY,2024,78147,143023,2361
Company 057,1668604,640805,S-Corp,PA,2024,66818,10965,20202
Company 058,1649459,71832,LLC,FL,2024,130825,174832,6736
Company 059,1603435,617080,Partnership,NJ,2024,81030,62059,10649
Company 060,862611,246161,C-Corp,TX,2024,174160,107928,43903
Company 061,1160888,309766,S-Corp,NY,2024,200562,10151,30847
Company 062,1052954,134633,Partnership,WA,2024,160007,59662,14609
Company 063,219255,55313,Partnership,WA,2024,146068,18198,18292
Company 064,1592813,702642,Partnership,MA,2024,173617,7235,7559
Company 065,1215615,217241,LLC,CA,2024,56834,156387,28479
Company 066,1569916,358914,Partnership,NJ,2024,268132,30315,25244
Company 067,917248,163547,C-Corp,PA,2024,886,136293,35287
Company 068,946425,220956,Partnership,NY,2024,173119,163356,20572
Company 069,642716,187455,LLC,PA,2024,171013,105486,45692
Company 070,1360067,611343,S-Corp,FL,2024,220434,174307,24847
Company 071,849923,352707,LLC,PA,2024,287276,106,19914
Company 072,1323403,250392,Partnership,NJ,2024,168951,121893,28952
Company 073,1974552,738446,S-Corp,MA,2024,248085,192927,11120
Company 074,475658,104392,LLC,NY,2024,123138,176369,20343
Company 075,1062211,452871,S-Corp,TX,2024,12805,12114,16046
Company 076,2112866,670967,C-Corp,OH,2024,217286,165089,37727
Company 077,935520,406620,Partnership,OH,2024,209533,63959,9671
Company 078,143256,36985,Partnership,FL,2024,92215,182429,33944
Company 079,2068463,82657,S-Corp,NY,2024,239317,34954,30450
Company 080,2347728,695422,Partnership,NJ,2024,264649,111867,35905
Company 081,1990297,970790,S-Corp,OH,2024,235966,67945,49268
Company 082,1156998,320782,Partnership,FL,2024,143968,115309,5077
Company 083,1318430,275884,LLC,WA,2024,167619,141597,5280
Company 084,700382,109078,S-Corp,PA,2024,80113,185183,14021
Company 085,389395,138755,Partnership,WA,2024,284484,122139,27248
Company 086,381161,84220,Partnership,PA,2024,10240,150913,24928
Company 087,2120598,36182,LLC,IL,2024,204465,109843,35272
Company 088,2410644,492503,Partnership,FL,2024,143096,114251,31827
Company 089,241738,80968,LLC,PA,2024,86530,122523,8364
Company 090,2360276,86552,Partnership,NJ,2024,295903,173801,1776
Company 091,472101,198492,Partnership,TX,2024,242062,47639,3295
Company 092,1211174,427519,LLC,FL,2024,238393,85680,22118
Company 093,1710170,321773,Partnership,IL,2024,42942,123288,1270
Company 094,2382487,139231,LLC,FL,2024,35975,170853,2638
Company 095,250149,62411,S-Corp,CA,2024,79892,62533,8272
Company 096,2106259,731978,C-Corp,NJ,2024,114276,121905,45840
Company 097,1194763,416814,S-Corp,NJ,2024,60048,42930,20384
Company 098,573399,181698,C-Corp,IL,2024,196768,103980,46859
Company 099,951855,69844,S-Corp,NY,2024,158116,179374,39348
Company 100,627741,51532,LLC,MA,2024,224593,173413,24285
